站点,水系,日期时间,水位,流量
宜昌,长江,27-06-2020 00:00:00,46.58,24500
沙市,长江,27-06-2020 00:00:00,38.94,23300
汉口,长江,27-06-2020 00:00:00,24,40200
九江,长江,27-06-2020 00:00:00,17.48,42300
大通,长江,27-06-2020 00:00:00,11.93,44900
城陵矶(七),洞庭湖,27-06-2020 00:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 00:00:00,16.89,3330
三峡水库(出库),长江,27-06-2020 00:00:00,146.02,21700
丹江口水库(出库),汉江,27-06-2020 00:00:00,159.38,850
寸滩,长江,27-06-2020 01:00:00,166.22,14400
武隆,乌江,27-06-2020 01:00:00,177.32,3380
宜昌,长江,27-06-2020 01:00:00,46.42,24000
沙市,长江,27-06-2020 01:00:00,38.92,23200
汉口,长江,27-06-2020 01:00:00,24.01,40200
九江,长江,27-06-2020 01:00:00,17.49,42400
大通,长江,27-06-2020 01:00:00,11.93,45100
城陵矶(七),洞庭湖,27-06-2020 01:00:00,30.57,17100
湖口,鄱阳湖,27-06-2020 01:00:00,16.9,3370
三峡水库(出库),长江,27-06-2020 01:00:00,146.1,20800
丹江口水库(出库),汉江,27-06-2020 01:00:00,159.37,842
寸滩,长江,27-06-2020 02:00:00,166.17,14300
武隆,乌江,27-06-2020 02:00:00,177.46,3450
宜昌,长江,27-06-2020 02:00:00,46.24,23400
沙市,长江,27-06-2020 02:00:00,38.91,23000
汉口,长江,27-06-2020 02:00:00,24.02,40300
九江,长江,27-06-2020 02:00:00,17.49,42400
大通,长江,27-06-2020 02:00:00,11.94,45300
城陵矶(七),洞庭湖,27-06-2020 02:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 02:00:00,16.91,3400
三峡水库,长江,27-06-2020 02:00:00,146.12,20000
三峡水库(出库),长江,27-06-2020 02:00:00,146.12,20700
丹江口水库,汉江,27-06-2020 02:00:00,159.39,1900
丹江口水库(出库),汉江,27-06-2020 02:00:00,159.39,845
寸滩,长江,27-06-2020 03:00:00,166.12,14200
武隆,乌江,27-06-2020 03:00:00,177.64,3530
宜昌,长江,27-06-2020 03:00:00,46.08,22900
沙市,长江,27-06-2020 03:00:00,38.89,22900
汉口,长江,27-06-2020 03:00:00,24.02,40300
九江,长江,27-06-2020 03:00:00,17.5,42400
大通,长江,27-06-2020 03:00:00,11.93,45400
城陵矶(七),洞庭湖,27-06-2020 03:00:00,30.63,17100
湖口,鄱阳湖,27-06-2020 03:00:00,16.92,3430
三峡水库(出库),长江,27-06-2020 03:00:00,146.15,20800
丹江口水库(出库),汉江,27-06-2020 03:00:00,159.39,852
寸滩,长江,27-06-2020 04:00:00,166.06,14100
武隆,乌江,27-06-2020 04:00:00,177.51,3470
宜昌,长江,27-06-2020 04:00:00,46.08,22900
沙市,长江,27-06-2020 04:00:00,38.87,22800
汉口,长江,27-06-2020 04:00:00,24.03,40300
九江,长江,27-06-2020 04:00:00,17.51,42400
大通,长江,27-06-2020 04:00:00,11.94,45500
城陵矶(七),洞庭湖,27-06-2020 04:00:00,30.64,17100
湖口,鄱阳湖,27-06-2020 04:00:00,16.92,3460
三峡水库(出库),长江,27-06-2020 04:00:00,146.16,20800
丹江口水库(出库),汉江,27-06-2020 04:00:00,159.4,847
寸滩,长江,27-06-2020 05:00:00,166.03,14100
武隆,乌江,27-06-2020 05:00:00,177.37,3410
宜昌,长江,27-06-2020 05:00:00,46.06,22900
沙市,长江,27-06-2020 05:00:00,38.82,22500
汉口,长江,27-06-2020 05:00:00,24.03,40300
九江,长江,27-06-2020 05:00:00,17.52,42500
大通,长江,27-06-2020 05:00:00,11.94,45200
城陵矶(七),洞庭湖,27-06-2020 05:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 05:00:00,16.92,3490
三峡水库(出库),长江,27-06-2020 05:00:00,146.16,20800
丹江口水库(出库),汉江,27-06-2020 05:00:00,159.4,854
寸滩,长江,27-06-2020 06:00:00,166.02,14000
武隆,乌江,27-06-2020 06:00:00,177,3240
宜昌,长江,27-06-2020 06:00:00,46.02,22800
沙市,长江,27-06-2020 06:00:00,38.79,22300
汉口,长江,27-06-2020 06:00:00,24.05,40400
九江,长江,27-06-2020 06:00:00,17.52,42500
大通,长江,27-06-2020 06:00:00,11.96,45100
城陵矶(七),洞庭湖,27-06-2020 06:00:00,30.62,17100
湖口,鄱阳湖,27-06-2020 06:00:00,16.93,3530
三峡水库(出库),长江,27-06-2020 06:00:00,146.17,20800
丹江口水库(出库),汉江,27-06-2020 06:00:00,159.4,854
寸滩,长江,27-06-2020 07:00:00,166,14000
武隆,乌江,27-06-2020 07:00:00,176.5,3030
宜昌,长江,27-06-2020 07:00:00,46.01,22700
沙市,长江,27-06-2020 07:00:00,38.78,22300
汉口,长江,27-06-2020 07:00:00,24.06,40500
九江,长江,27-06-2020 07:00:00,17.53,42500
大通,长江,27-06-2020 07:00:00,11.97,45300
城陵矶(七),洞庭湖,27-06-2020 07:00:00,30.66,17100
湖口,鄱阳湖,27-06-2020 07:00:00,16.96,3560
三峡水库(出库),长江,27-06-2020 07:00:00,146.15,20800
丹江口水库(出库),汉江,27-06-2020 07:00:00,159.41,1150
寸滩,长江,27-06-2020 08:00:00,166.02,14000
武隆,乌江,27-06-2020 08:00:00,176.11,2870
宜昌,长江,27-06-2020 08:00:00,46.11,23000
沙市,长江,27-06-2020 08:00:00,38.69,21700
汉口,长江,27-06-2020 08:00:00,24.05,40400
九江,长江,27-06-2020 08:00:00,17.55,42600
大通,长江,27-06-2020 08:00:00,11.97,45300
城陵矶(七),洞庭湖,27-06-2020 08:00:00,30.6,17100
湖口,鄱阳湖,27-06-2020 08:00:00,16.96,3690
三峡水库,长江,27-06-2020 08:00:00,146.05,20000
三峡水库(出库),长江,27-06-2020 08:00:00,146.05,23400
丹江口水库,汉江,27-06-2020 08:00:00,159.42,2050
丹江口水库(出库),汉江,27-06-2020 08:00:00,159.42,1310
寸滩,长江,27-06-2020 09:00:00,166.02,14000
武隆,乌江,27-06-2020 09:00:00,175.72,2710
宜昌,长江,27-06-2020 09:00:00,46.34,23700
沙市,长江,27-06-2020 09:00:00,38.66,21600
汉口,长江,27-06-2020 09:00:00,24.06,40500
九江,长江,27-06-2020 09:00:00,17.55,42600
大通,长江,27-06-2020 09:00:00,11.98,45500
城陵矶(七),洞庭湖,27-06-2020 09:00:00,30.62,17100
湖口,鄱阳湖,27-06-2020 09:00:00,16.98,3620
三峡水库(出库),长江,27-06-2020 09:00:00,146.01,23600
丹江口水库(出库),汉江,27-06-2020 09:00:00,159.42,1310
宜昌,长江,27-06-2020 09:12:00,46.35,23600
湖口,鄱阳湖,27-06-2020 09:50:00,16.96,4230
寸滩,长江,27-06-2020 10:00:00,166.05,14100
武隆,乌江,27-06-2020 10:00:00,175.55,2640
宜昌,长江,27-06-2020 10:00:00,46.51,24200
沙市,长江,27-06-2020 10:00:00,38.62,21500
汉口,长江,27-06-2020 10:00:00,24.06,40500
九江,长江,27-06-2020 10:00:00,17.56,42600
大通,长江,27-06-2020 10:00:00,11.99,45600
城陵矶(七),洞庭湖,27-06-2020 10:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 10:00:00,16.98,4230
三峡水库(出库),长江,27-06-2020 10:00:00,145.93,23700
丹江口水库(出库),汉江,27-06-2020 10:00:00,159.42,1310
寸滩,长江,27-06-2020 11:00:00,166.12,14200
武隆,乌江,27-06-2020 11:00:00,175.85,2760
宜昌,长江,27-06-2020 11:00:00,46.68,24800
沙市,长江,27-06-2020 11:00:00,38.59,21400
汉口,长江,27-06-2020 11:00:00,24.08,40600
九江,长江,27-06-2020 11:00:00,17.57,42700
大通,长江,27-06-2020 11:00:00,11.99,45700
城陵矶(七),洞庭湖,27-06-2020 11:00:00,30.65,17100
湖口,鄱阳湖,27-06-2020 11:00:00,17.01,4270
三峡水库(出库),长江,27-06-2020 11:00:00,145.89,23600
丹江口水库(出库),汉江,27-06-2020 11:00:00,159.43,1310
寸滩,长江,27-06-2020 12:00:00,166.17,14300
武隆,乌江,27-06-2020 12:00:00,177,3240
宜昌,长江,27-06-2020 12:00:00,46.83,25300
沙市,长江,27-06-2020 12:00:00,38.59,21500
汉口,长江,27-06-2020 12:00:00,24.08,40600
九江,长江,27-06-2020 12:00:00,17.59,42800
大通,长江,27-06-2020 12:00:00,11.99,45600
城陵矶(七),洞庭湖,27-06-2020 12:00:00,30.62,17100
湖口,鄱阳湖,27-06-2020 12:00:00,17.01,4300
三峡水库(出库),长江,27-06-2020 12:00:00,145.97,21100
丹江口水库(出库),汉江,27-06-2020 12:00:00,159.43,1160
寸滩,长江,27-06-2020 13:00:00,166.3,14500
武隆,乌江,27-06-2020 13:00:00,177.99,3690
宜昌,长江,27-06-2020 13:00:00,46.63,24600
沙市,长江,27-06-2020 13:00:00,38.54,21200
汉口,长江,27-06-2020 13:00:00,24.08,40600
九江,长江,27-06-2020 13:00:00,17.6,42800
大通,长江,27-06-2020 13:00:00,11.99,45900
城陵矶(七),洞庭湖,27-06-2020 13:00:00,30.65,17100
湖口,鄱阳湖,27-06-2020 13:00:00,17.03,4340
三峡水库(出库),长江,27-06-2020 13:00:00,145.96,20800
丹江口水库(出库),汉江,27-06-2020 13:00:00,159.44,867
寸滩,长江,27-06-2020 14:00:00,166.47,14800
武隆,乌江,27-06-2020 14:00:00,179.06,4190
宜昌,长江,27-06-2020 14:00:00,46.45,24100
沙市,长江,27-06-2020 14:00:00,38.56,21400
汉口,长江,27-06-2020 14:00:00,24.09,40600
九江,长江,27-06-2020 14:00:00,17.62,42900
大通,长江,27-06-2020 14:00:00,11.99,45900
城陵矶(七),洞庭湖,27-06-2020 14:00:00,30.65,17100
湖口,鄱阳湖,27-06-2020 14:00:00,17.03,4370
三峡水库,长江,27-06-2020 14:00:00,145.99,20000
三峡水库(出库),长江,27-06-2020 14:00:00,145.99,20800
丹江口水库,汉江,27-06-2020 14:00:00,159.44,1930
丹江口水库(出库),汉江,27-06-2020 14:00:00,159.44,907
寸滩,长江,27-06-2020 15:00:00,166.7,15300
武隆,乌江,27-06-2020 15:00:00,180.24,4770
宜昌,长江,27-06-2020 15:00:00,46.4,23900
沙市,长江,27-06-2020 15:00:00,38.58,21700
汉口,长江,27-06-2020 15:00:00,24.09,40600
九江,长江,27-06-2020 15:00:00,17.61,42800
大通,长江,27-06-2020 15:00:00,11.99,45900
城陵矶(七),洞庭湖,27-06-2020 15:00:00,30.63,17100
湖口,鄱阳湖,27-06-2020 15:00:00,17.04,4390
三峡水库(出库),长江,27-06-2020 15:00:00,146.04,20900
丹江口水库(出库),汉江,27-06-2020 15:00:00,159.45,907
寸滩,长江,27-06-2020 16:00:00,166.94,15700
武隆,乌江,27-06-2020 16:00:00,181.4,5370
宜昌,长江,27-06-2020 16:00:00,46.41,23900
沙市,长江,27-06-2020 16:00:00,38.58,21600
汉口,长江,27-06-2020 16:00:00,24.09,40600
九江,长江,27-06-2020 16:00:00,17.64,43000
大通,长江,27-06-2020 16:00:00,12,45900
城陵矶(七),洞庭湖,27-06-2020 16:00:00,30.62,17100
湖口,鄱阳湖,27-06-2020 16:00:00,17.05,4410
三峡水库(出库),长江,27-06-2020 16:00:00,146.04,20900
丹江口水库(出库),汉江,27-06-2020 16:00:00,159.45,903
寸滩,长江,27-06-2020 17:00:00,167.22,16200
武隆,乌江,27-06-2020 17:00:00,182.44,5940
宜昌,长江,27-06-2020 17:00:00,46.42,24000
沙市,长江,27-06-2020 17:00:00,38.58,21700
汉口,长江,27-06-2020 17:00:00,24.11,40700
九江,长江,27-06-2020 17:00:00,17.65,43000
大通,长江,27-06-2020 17:00:00,12.02,45900
城陵矶(七),洞庭湖,27-06-2020 17:00:00,30.64,17100
湖口,鄱阳湖,27-06-2020 17:00:00,17.06,4430
三峡水库(出库),长江,27-06-2020 17:00:00,145.95,23600
丹江口水库(出库),汉江,27-06-2020 17:00:00,159.46,1040
寸滩,长江,27-06-2020 18:00:00,167.54,16900
武隆,乌江,27-06-2020 18:00:00,183.5,6530
沙市,长江,27-06-2020 18:00:00,38.57,21700
汉口,长江,27-06-2020 18:00:00,24.12,40800
九江,长江,27-06-2020 18:00:00,17.64,43000
大通,长江,27-06-2020 18:00:00,12.05,45400
城陵矶(七),洞庭湖,27-06-2020 18:00:00,30.67,17200
湖口,鄱阳湖,27-06-2020 18:00:00,17.07,4450
三峡水库(出库),长江,27-06-2020 18:00:00,145.95,23600
丹江口水库(出库),汉江,27-06-2020 18:00:00,159.46,1040
寸滩,长江,27-06-2020 19:00:00,167.85,17500
武隆,乌江,27-06-2020 19:00:00,184.09,6870
宜昌,长江,27-06-2020 19:00:00,46.88,25400
沙市,长江,27-06-2020 19:00:00,38.57,21600
汉口,长江,27-06-2020 19:00:00,24.12,40800
九江,长江,27-06-2020 19:00:00,17.65,43000
大通,长江,27-06-2020 19:00:00,12.06,45900
城陵矶(七),洞庭湖,27-06-2020 19:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 19:00:00,17.07,4470
三峡水库(出库),长江,27-06-2020 19:00:00,145.91,23700
寸滩,长江,27-06-2020 19:12:00,167.95,18900
丹江口水库(出库),汉江,27-06-2020 19:00:00,159.45,1340
武隆,乌江,27-06-2020 19:02:00,184.08,6850
寸滩,长江,27-06-2020 20:00:00,168.21,19200
武隆,乌江,27-06-2020 20:00:00,184.35,7030
宜昌,长江,27-06-2020 20:00:00,47.09,26100
沙市,长江,27-06-2020 20:00:00,38.59,21700
汉口,长江,27-06-2020 20:00:00,24.12,40800
九江,长江,27-06-2020 20:00:00,17.66,43000
大通,长江,27-06-2020 20:00:00,12.07,45800
城陵矶(七),洞庭湖,27-06-2020 20:00:00,30.63,17100
湖口,鄱阳湖,27-06-2020 20:00:00,17.09,4480
三峡水库,长江,27-06-2020 20:00:00,145.86,26000
三峡水库(出库),长江,27-06-2020 20:00:00,145.86,23800
丹江口水库,汉江,27-06-2020 20:00:00,159.47,2210
丹江口水库(出库),汉江,27-06-2020 20:00:00,159.47,1350
寸滩,长江,27-06-2020 21:00:00,168.54,19900
武隆,乌江,27-06-2020 21:00:00,185.28,7580
宜昌,长江,27-06-2020 21:00:00,47.12,26200
沙市,长江,27-06-2020 21:00:00,38.59,21700
汉口,长江,27-06-2020 21:00:00,24.12,40800
九江,长江,27-06-2020 21:00:00,17.68,43100
大通,长江,27-06-2020 21:00:00,12.09,45900
城陵矶(七),洞庭湖,27-06-2020 21:00:00,30.64,17100
湖口,鄱阳湖,27-06-2020 21:00:00,17.11,4490
三峡水库(出库),长江,27-06-2020 21:00:00,145.87,23700
丹江口水库(出库),汉江,27-06-2020 21:00:00,159.47,1280
寸滩,长江,27-06-2020 22:00:00,168.89,20700
武隆,乌江,27-06-2020 22:00:00,186.41,8290
宜昌,长江,27-06-2020 22:00:00,47.18,26400
沙市,长江,27-06-2020 22:00:00,38.58,21600
汉口,长江,27-06-2020 22:00:00,24.13,40800
九江,长江,27-06-2020 22:00:00,17.67,43100
大通,长江,27-06-2020 22:00:00,12.09,46100
城陵矶(七),洞庭湖,27-06-2020 22:00:00,30.67,17200
湖口,鄱阳湖,27-06-2020 22:00:00,17.1,4510
三峡水库(出库),长江,27-06-2020 22:00:00,145.93,21900
丹江口水库(出库),汉江,27-06-2020 22:00:00,159.49,1050
寸滩,长江,27-06-2020 23:00:00,169.21,21400
武隆,乌江,27-06-2020 23:00:00,186.76,8510
宜昌,长江,27-06-2020 23:00:00,47.05,26000
沙市,长江,27-06-2020 23:00:00,38.62,21900
汉口,长江,27-06-2020 23:00:00,24.12,40800
九江,长江,27-06-2020 23:00:00,17.69,43200
大通,长江,27-06-2020 23:00:00,12.11,46000
城陵矶(七),洞庭湖,27-06-2020 23:00:00,30.61,17100
湖口,鄱阳湖,27-06-2020 23:00:00,17.11,4520
三峡水库(出库),长江,27-06-2020 23:00:00,145.94,21900
丹江口水库(出库),汉江,27-06-2020 23:00:00,159.49,908
寸滩,长江,28-06-2020 00:00:00,169.5,22100
武隆,乌江,28-06-2020 00:00:00,186.67,8450
宜昌,长江,28-06-2020 00:00:00,46.92,25500
沙市,长江,28-06-2020 00:00:00,38.64,22000
汉口,长江,28-06-2020 00:00:00,24.14,40900
九江,长江,28-06-2020 00:00:00,17.69,43200
大通,长江,28-06-2020 00:00:00,12.11,46000
城陵矶(七),洞庭湖,28-06-2020 00:00:00,30.64,17100
湖口,鄱阳湖,28-06-2020 00:00:00,17.12,4540
三峡水库(出库),长江,28-06-2020 00:00:00,145.96,21800
丹江口水库(出库),汉江,28-06-2020 00:00:00,159.5,1140
寸滩,长江,28-06-2020 01:00:00,169.82,23000
武隆,乌江,28-06-2020 01:00:00,186.5,8340
宜昌,长江,28-06-2020 01:00:00,46.95,25600
沙市,长江,28-06-2020 01:00:00,38.68,22200
汉口,长江,28-06-2020 01:00:00,24.15,40900
九江,长江,28-06-2020 01:00:00,17.7,43200
大通,长江,28-06-2020 01:00:00,12.11,46200
城陵矶(七),洞庭湖,28-06-2020 01:00:00,30.67,17200
湖口,鄱阳湖,28-06-2020 01:00:00,17.13,4550
三峡水库(出库),长江,28-06-2020 01:00:00,146,21800
丹江口水库(出库),汉江,28-06-2020 01:00:00,159.51,1350
寸滩,长江,28-06-2020 02:00:00,170.09,23500
武隆,乌江,28-06-2020 02:00:00,186.98,8650
宜昌,长江,28-06-2020 02:00:00,46.9,25500
沙市,长江,28-06-2020 02:00:00,38.7,22300
汉口,长江,28-06-2020 02:00:00,24.15,40900
九江,长江,28-06-2020 02:00:00,17.71,43300
大通,长江,28-06-2020 02:00:00,12.11,46300
城陵矶(七),洞庭湖,28-06-2020 02:00:00,30.61,17100
湖口,鄱阳湖,28-06-2020 02:00:00,17.14,4570
三峡水库,长江,28-06-2020 02:00:00,146.04,33000
三峡水库(出库),长江,28-06-2020 02:00:00,146.04,21800
丹江口水库,汉江,28-06-2020 02:00:00,159.52,3080
丹江口水库(出库),汉江,28-06-2020 02:00:00,159.52,1350
寸滩,长江,28-06-2020 03:00:00,170.34,23800
武隆,乌江,28-06-2020 03:00:00,187.58,9040
宜昌,长江,28-06-2020 03:00:00,46.9,25500
沙市,长江,28-06-2020 03:00:00,38.73,22400
汉口,长江,28-06-2020 03:00:00,24.14,40900
九江,长江,28-06-2020 03:00:00,17.72,43300
大通,长江,28-06-2020 03:00:00,12.11,46500
城陵矶(七),洞庭湖,28-06-2020 03:00:00,30.64,17100
湖口,鄱阳湖,28-06-2020 03:00:00,17.15,4580
三峡水库(出库),长江,28-06-2020 03:00:00,146.13,21700
丹江口水库(出库),汉江,28-06-2020 03:00:00,159.54,1090
寸滩,长江,28-06-2020 04:00:00,170.55,24000
武隆,乌江,28-06-2020 04:00:00,188.18,9430
宜昌,长江,28-06-2020 04:00:00,46.75,25000
沙市,长江,28-06-2020 04:00:00,38.73,22300
汉口,长江,28-06-2020 04:00:00,24.16,41000
九江,长江,28-06-2020 04:00:00,17.73,43300
大通,长江,28-06-2020 04:00:00,12.11,46700
城陵矶(七),洞庭湖,28-06-2020 04:00:00,30.66,17100
湖口,鄱阳湖,28-06-2020 04:00:00,17.16,4600
三峡水库(出库),长江,28-06-2020 04:00:00,146.17,21700
丹江口水库(出库),汉江,28-06-2020 04:00:00,159.53,1090
寸滩,长江,28-06-2020 05:00:00,170.73,24200
武隆,乌江,28-06-2020 05:00:00,188.81,9850
宜昌,长江,28-06-2020 05:00:00,46.67,24700
沙市,长江,28-06-2020 05:00:00,38.77,22600
汉口,长江,28-06-2020 05:00:00,24.17,41000
九江,长江,28-06-2020 05:00:00,17.74,43400
大通,长江,28-06-2020 05:00:00,12.12,46400
城陵矶(七),洞庭湖,28-06-2020 05:00:00,30.64,17100
湖口,鄱阳湖,28-06-2020 05:00:00,17.17,4610
三峡水库(出库),长江,28-06-2020 05:00:00,146.22,21600
丹江口水库(出库),汉江,28-06-2020 05:00:00,159.54,1080
寸滩,长江,28-06-2020 06:00:00,170.8,24300
武隆,乌江,28-06-2020 06:00:00,189.29,10200
宜昌,长江,28-06-2020 06:00:00,46.63,24600
沙市,长江,28-06-2020 06:00:00,38.79,22800
汉口,长江,28-06-2020 06:00:00,24.17,41000
九江,长江,28-06-2020 06:00:00,17.74,43400
大通,长江,28-06-2020 06:00:00,12.13,46600
城陵矶(七),洞庭湖,28-06-2020 06:00:00,30.62,17100
湖口,鄱阳湖,28-06-2020 06:00:00,17.18,4630
三峡水库(出库),长江,28-06-2020 06:00:00,146.32,21600
丹江口水库(出库),汉江,28-06-2020 06:00:00,159.55,1090
寸滩,长江,28-06-2020 07:00:00,170.91,24400
武隆,乌江,28-06-2020 07:00:00,189.45,10300
宜昌,长江,28-06-2020 07:00:00,46.57,24400
沙市,长江,28-06-2020 07:00:00,38.79,22600
汉口,长江,28-06-2020 07:00:00,24.18,41100
九江,长江,28-06-2020 07:00:00,17.76,43500
大通,长江,28-06-2020 07:00:00,12.15,46600
城陵矶(七),洞庭湖,28-06-2020 07:00:00,30.64,17100
湖口,鄱阳湖,28-06-2020 07:00:00,17.19,4640
三峡水库(出库),长江,28-06-2020 07:00:00,146.37,22400
丹江口水库(出库),汉江,28-06-2020 07:00:00,159.56,1090
寸滩,长江,28-06-2020 08:00:00,170.98,24500
武隆,乌江,28-06-2020 08:00:00,189.54,10400
宜昌,长江,28-06-2020 08:00:00,46.7,24800
沙市,长江,28-06-2020 08:00:00,38.8,22700
汉口,长江,28-06-2020 08:00:00,24.19,41100
九江,长江,28-06-2020 08:00:00,17.77,43400
大通,长江,28-06-2020 08:00:00,12.17,46500
城陵矶(七),洞庭湖,28-06-2020 08:00:00,30.66,17100
湖口,鄱阳湖,28-06-2020 08:00:00,17.2,4660
丹江口水库,汉江,28-06-2020 08:00:00,159.57,3010
丹江口水库(出库),汉江,28-06-2020 08:00:00,159.57,1350
三峡水库,长江,28-06-2020 08:00:00,146.32,37000
三峡水库(出库),长江,28-06-2020 08:00:00,146.32,26100
武隆,乌江,28-06-2020 08:10:00,189.52,9920
寸滩,长江,28-06-2020 09:00:00,171.04,25400
武隆,乌江,28-06-2020 09:00:00,189.47,10000
宜昌,长江,28-06-2020 09:00:00,47.02,25900
沙市,长江,28-06-2020 09:00:00,38.8,22700
汉口,长江,28-06-2020 09:00:00,24.19,41100
九江,长江,28-06-2020 09:00:00,17.78,42400
大通,长江,28-06-2020 09:00:00,12.18,46700
城陵矶(七),洞庭湖,28-06-2020 09:00:00,30.61,17100
湖口,鄱阳湖,28-06-2020 09:00:00,17.2,4670
三峡水库(出库),长江,28-06-2020 09:00:00,146.31,26300
丹江口水库(出库),汉江,28-06-2020 09:00:00,159.57,1340
寸滩,长江,28-06-2020 10:00:00,171.14,25500
武隆,乌江,28-06-2020 10:00:00,189.74,9900
宜昌,长江,28-06-2020 10:00:00,47.2,26500
汉口,长江,28-06-2020 10:00:00,24.2,41200
九江,长江,28-06-2020 10:00:00,17.78,42400
大通,长江,28-06-2020 10:00:00,12.2,46500
城陵矶(七),洞庭湖,28-06-2020 10:00:00,30.65,17100
湖口,鄱阳湖,28-06-2020 10:00:00,17.21,4690
三峡水库(出库),长江,28-06-2020 10:00:00,146.31,26400
沙市,长江,28-06-2020 10:00:00,38.81,22700
丹江口水库(出库),汉江,28-06-2020 10:00:00,159.57,1340
寸滩,长江,28-06-2020 11:00:00,171.19,25600
武隆,乌江,28-06-2020 11:00:00,189.95,10700
宜昌,长江,28-06-2020 11:00:00,47.47,27400
沙市,长江,28-06-2020 11:00:00,38.8,22600
汉口,长江,28-06-2020 11:00:00,24.21,41200
九江,长江,28-06-2020 11:00:00,17.8,42400
大通,长江,28-06-2020 11:00:00,12.21,46600
城陵矶(七),洞庭湖,28-06-2020 11:00:00,30.66,17100
湖口,鄱阳湖,28-06-2020 11:00:00,17.22,4700
三峡水库(出库),长江,28-06-2020 11:00:00,146.36,26400
丹江口水库(出库),汉江,28-06-2020 11:00:00,159.58,1350
寸滩,长江,28-06-2020 12:00:00,171.24,25700
武隆,乌江,28-06-2020 12:00:00,190.12,10800
宜昌,长江,28-06-2020 12:00:00,47.46,27400
沙市,长江,28-06-2020 12:00:00,38.81,22700
汉口,长江,28-06-2020 12:00:00,24.22,41300
九江,长江,28-06-2020 12:00:00,17.81,42400
大通,长江,28-06-2020 12:00:00,12.21,46600
城陵矶(七),洞庭湖,28-06-2020 12:00:00,30.63,17100
湖口,鄱阳湖,28-06-2020 12:00:00,17.23,4720
三峡水库(出库),长江,28-06-2020 12:00:00,146.5,23500
丹江口水库(出库),汉江,28-06-2020 12:00:00,159.58,1350
寸滩,长江,28-06-2020 13:00:00,171.34,25800
武隆,乌江,28-06-2020 13:00:00,190.18,10800
宜昌,长江,28-06-2020 13:00:00,47.29,26800
沙市,长江,28-06-2020 13:00:00,38.87,23200
汉口,长江,28-06-2020 13:00:00,24.22,41300
九江,长江,28-06-2020 13:00:00,17.81,42400
大通,长江,28-06-2020 13:00:00,12.22,46900
城陵矶(七),洞庭湖,28-06-2020 13:00:00,30.63,17100
湖口,鄱阳湖,28-06-2020 13:00:00,17.25,4730
三峡水库(出库),长江,28-06-2020 13:00:00,146.6,23300
丹江口水库(出库),汉江,28-06-2020 13:00:00,159.59,1340
寸滩,长江,28-06-2020 14:00:00,171.43,26000
武隆,乌江,28-06-2020 14:00:00,190.23,10900
宜昌,长江,28-06-2020 14:00:00,47.21,26500
沙市,长江,28-06-2020 14:00:00,38.9,23600
汉口,长江,28-06-2020 14:00:00,24.25,41400
九江,长江,28-06-2020 14:00:00,17.82,42500
大通,长江,28-06-2020 14:00:00,12.22,46900
城陵矶(七),洞庭湖,28-06-2020 14:00:00,30.65,17100
湖口,鄱阳湖,28-06-2020 14:00:00,17.25,4770
三峡水库,长江,28-06-2020 14:00:00,146.73,40000
三峡水库(出库),长江,28-06-2020 14:00:00,146.73,23300
丹江口水库,汉江,28-06-2020 14:00:00,159.59,2100
丹江口水库(出库),汉江,28-06-2020 14:00:00,159.59,1350
寸滩,长江,28-06-2020 15:00:00,171.48,26100
武隆,乌江,28-06-2020 15:00:00,190.28,10900
宜昌,长江,28-06-2020 15:00:00,47.19,26400
沙市,长江,28-06-2020 15:00:00,38.98,23800
汉口,长江,28-06-2020 15:00:00,24.25,41400
九江,长江,28-06-2020 15:00:00,17.82,42500
大通,长江,28-06-2020 15:00:00,12.24,47000
城陵矶(七),洞庭湖,28-06-2020 15:00:00,30.68,17200
湖口,鄱阳湖,28-06-2020 15:00:00,17.26,4790
三峡水库(出库),长江,28-06-2020 15:00:00,146.85,23200
丹江口水库(出库),汉江,28-06-2020 15:00:00,159.59,1350
寸滩,长江,28-06-2020 16:00:00,171.55,26200
武隆,乌江,28-06-2020 16:00:00,190.39,11000
宜昌,长江,28-06-2020 16:00:00,47.17,26400
沙市,长江,28-06-2020 16:00:00,39,23900
汉口,长江,28-06-2020 16:00:00,24.24,41300
九江,长江,28-06-2020 16:00:00,17.84,42600
大通,长江,28-06-2020 16:00:00,12.25,46900
城陵矶(七),洞庭湖,28-06-2020 16:00:00,30.62,17100
湖口,鄱阳湖,28-06-2020 16:00:00,17.26,4810
三峡水库(出库),长江,28-06-2020 16:00:00,146.84,25800
丹江口水库(出库),汉江,28-06-2020 16:00:00,159.6,1360
寸滩,长江,28-06-2020 17:00:00,171.58,26200
武隆,乌江,28-06-2020 17:00:00,190.31,10900
宜昌,长江,28-06-2020 17:00:00,47.43,27300
沙市,长江,28-06-2020 17:00:00,39.05,24200
汉口,长江,28-06-2020 17:00:00,24.27,41500
九江,长江,28-06-2020 17:00:00,17.85,42600
大通,长江,28-06-2020 17:00:00,12.27,46700
城陵矶(七),洞庭湖,28-06-2020 17:00:00,30.64,17100
湖口,鄱阳湖,28-06-2020 17:00:00,17.27,4840
